Country,Year,BFTn,BFTtons
ITALY,1960,9551.00,1623.67
ITALY,1961,8099.00,1376.83
ITALY,1962,9554.67,1624.29
ITALY,1963,6294.00,1069.98
ITALY,1964,8608.33,1463.42
ITALY,1965,7112.00,1209.04
ITALY,1966,5653.00,961.01
ITALY,1967,10813.00,1838.21
ITALY,1968,12925.00,2197.25
ITALY,1969,7594.00,1290.98
ITALY,1970,5335.00,906.95
ITALY,1971,6706.00,1140.02
ITALY,1972,3873.00,658.41
ITALY,1973,1454.00,247.18
ITALY,1974,2361.00,401.37
ITALY,1975,3861.00,656.37
ITALY,1976,2922.00,496.74
ITALY,1977,1972.00,335.24
ITALY,1978,870.00,147.90
ITALY,1979,612.00,104.04
ITALY,1980,559.00,95.03
ITALY,1981,633.00,107.61
ITALY,1982,714.00,121.38
ITALY,1983,849.00,144.33
ITALY,1984,437.00,74.29
ITALY,1985,665.00,113.05
ITALY,1986,1051.00,178.67
ITALY,1987,264.00,44.88
ITALY,1988,375.00,63.75
ITALY,1989,1348.00,229.16
ITALY,1990,1321.00,224.57
ITALY,1991,1266.00,215.22
ITALY,1992,1477.00,251.09
ITALY,1993,970.00,164.90
ITALY,1994,758.00,128.86
