Investigator,Contact_Person,Tag_ID,Species,Length_cm,Weight_kg,Stock_Area,Start_Date,End_Date,Days/Area
USA_NOAA,C_Brown,GOM_2010_004,BFT,250,340,W_ATL,2010-06-14,2010-08-20,68
USA_NOAA,C_Brown,GOM_2010_005,BFT,260,360,GOM,2010-05-22,2010-06-05,15
USA_NOAA,C_Brown,GOM_2010_005,BFT,260,360,CAR,2010-06-06,2010-06-07,2
USA_NOAA,C_Brown,GOM_2010_005,BFT,260,360,W_ATL,2010-06-08,2010-08-21,75
USA_NOAA,C_Brown,GOM_2012_02,BFT,240,225,GOM,2012-03-02,2012-04-26,56
USA_NOAA,C_Brown,GOM_2012_04,BFT,240,225,GOM,2012-05-25,2012-06-03,10
USA_NOAA,C_Brown,GOM_2012_04,BFT,240,225,CAR,2012-06-04,2012-06-07,4
USA_NOAA,C_Brown,GOM_2012_04,BFT,240,225,W_ATL,2012-06-08,2012-08-14,68
USA_NOAA,C_Brown,GOM_2012_06,BFT,195,,GOM,2012-04-13,2012-05-19,37
USA_NOAA,C_Brown,GOM_2012_06,BFT,195,,CAR,2012-05-20,2012-05-26,7
USA_NOAA,C_Brown,GOM_2012_06,BFT,195,,W_ATL,2012-05-27,2012-06-04,9
USA_NOAA,C_Brown,GOM_2012_10,BFT,270,290,GOM,2012-03-22,2012-05-24,64
USA_NOAA,C_Brown,GOM_2012_12,BFT,240,225,GOM,2012-05-02,2012-05-10,9
USA_NOAA,C_Brown,GOM_2012_12,BFT,240,225,CAR,2012-05-11,2012-05-16,6
USA_NOAA,C_Brown,GOM_2012_12,BFT,240,225,W_ATL,2012-05-17,2012-06-29,44
USA_NOAA,C_Brown,GOM_2012_16,BFT,210,180,GOM,2012-04-26,2012-05-09,14
USA_NOAA,C_Brown,GOM_2012_16,BFT,210,180,CAR,2012-05-10,2012-05-31,22
USA_NOAA,C_Brown,GOM_2012_16,BFT,210,180,W_ATL,2012-06-01,2012-06-28,28
USA_NOAA,C_Brown,GOM_2012_19,BFT,240,180,GOM,2012-04-25,2012-05-27,33
USA_NOAA,C_Brown,GOM_2012_19,BFT,240,180,CAR,2012-05-28,2012-06-11,15
USA_NOAA,C_Brown,GOM_2012_19,BFT,240,180,W_ATL,2012-06-12,2012-07-23,42
USA_NOAA,C_Brown,GOM_2012_20,BFT,240,225,GOM,2012-04-26,2012-05-21,26
USA_NOAA,C_Brown,GOM_2012_20,BFT,240,225,CAR,2012-05-22,2012-05-29,8
USA_NOAA,C_Brown,GOM_2012_20,BFT,240,225,W_ATL,2012-05-30,2012-06-01,3
USA_NOAA,C_Brown,GOM_2012_21,BFT,240,,GOM,2012-04-10,2012-05-03,24
